partOfSpeech,word
adjective,건강한
adjective,안전한
adjective,깨끗한
adjective,밝은
adjective,좋은
adjective,행복한
adjective,맛있는
adjective,기쁨을 주는
adjective,친절한
adjective,사랑스러운
adjective,상쾌한
adjective,즐거운
adjective,조용한
adjective,평화로운
adjective,소중한
noun,가방
noun,가족
noun,감정
noun,강아지
noun,감사
noun,개미
noun,고래
noun,공원
noun,꿈
noun,기분
noun,기념일
noun,그림
noun,길
noun,고슴도치
noun,고양이
noun,구름
noun,꽃
noun,갯벌
noun,감자
noun,금요일
noun,구슬
noun,귀여움
noun,과일
noun,그늘
noun,감성
noun,계획
noun,가격
noun,가위
noun,고백
noun,고향
noun,골프
noun,기차
noun,기적
noun,고백자
noun,곰
noun,공기
noun,갈매기
noun,고개
noun,곡식
noun,권리
noun,개선
noun,갈대
noun,균형
noun,교훈
noun,간식
noun,급식
noun,관찰
noun,고모
noun,고구마
noun,나무
noun,나비
noun,날씨
noun,농장
noun,놀이
noun,눈빛
noun,뉴스
noun,느낌
noun,넓이
noun,노래
noun,노을
noun,나침반
noun,낙엽
noun,나절
noun,날개
noun,너비
noun,논리
noun,녹음
noun,나이
noun,나라
noun,낚시
noun,노력
noun,네트워크
noun,농부
noun,노트
noun,내기
noun,냉장고
noun,내일
noun,노선
noun,낙찰
noun,낙엽
noun,나뭇잎
noun,나비효과
noun,농첩
noun,녹차
noun,논문
noun,느림보
noun,냄비
noun,낙관
noun,누리
noun,뉴스레터
noun,내과
noun,낭만
noun,농촌
noun,냉동
noun,나머지
noun,넓은
noun,노릇
noun,다리
noun,단추
noun,도서관
noun,도전
noun,동물
noun,드라마
noun,디자인
noun,대화
noun,대중
noun,다양한
noun,도시
noun,다람쥐
noun,담임
noun,단체
noun,대지
noun,동기
noun,동행
noun,동화
noun,덩이
noun,대장
noun,대회
noun,도로
noun,당근
noun,달력
noun,돌잔치
noun,다과
noun,단면
noun,대리
noun,드라이브
noun,대사
noun,득점
noun,돼지
noun,도장
noun,담배
noun,도미노
noun,독서
noun,다짐
noun,다이빙
noun,동물원
noun,대문
noun,동네
noun,대칭
noun,드릴
noun,달콤함
noun,담배연기
noun,대가
noun,담임교사
noun,대형
noun,다이어트
noun,달팽이
noun,라디오
